;all_texts;ats;texts;hashtags
437;@pepprgrl @Publix @sproutsfm @WeisMarkets @acmemarkets Thanks for your feedback Katrina, We'll be sure to pass this along to the right team as we're always looking to improve our products based off of what our consumers tell us.;['pepprgrl', 'publix', 'sproutsfm', 'weismarkets', 'acmemarkets'];['thanks', 'for', 'your', 'feedback', 'katrina', 'we', 'be', 'sure', 'to', 'pass', 'this', 'along', 'to', 'the', 'right', 'team', 'as', 'we', 'always', 'looking', 'to', 'improve', 'our', 'products', 'based', 'off', 'of', 'what', 'our', 'consumers', 'tell', 'us'];[]
438;@lalonde019 Hey Franco, we will be in Canadian grocery stores as soon as we can!;['lalonde019'];['hey', 'franco', 'we', 'will', 'be', 'in', 'canadian', 'grocery', 'stores', 'as', 'soon', 'as', 'we', 'can'];[]
439;@samknowsnow @Publix @sproutsfm @WeisMarkets @acmemarkets We are excited to grow internationally and will be in Canadian grocery stores as soon as we can!;['samknowsnow', 'publix', 'sproutsfm', 'weismarkets', 'acmemarkets'];['we', 'are', 'excited', 'to', 'grow', 'internationally', 'and', 'will', 'be', 'in', 'canadian', 'grocery', 'stores', 'as', 'soon', 'as', 'we', 'can'];[]
440;@dragon15a @Publix @sproutsfm @WeisMarkets @acmemarkets The #BeyondBurger is now on the menu at all Honest Burger and All Bar One locations. We will be in Tesco Supermarkets this November, so stay tuned for updates!;['dragon15a', 'publix', 'sproutsfm', 'weismarkets', 'acmemarkets'];['the', 'beyondburger', 'is', 'now', 'on', 'the', 'menu', 'at', 'all', 'honest', 'burger', 'and', 'all', 'bar', 'one', 'locations', 'we', 'will', 'be', 'in', 'tesco', 'supermarkets', 'this', 'november', 'so', 'stay', 'tuned', 'for', 'updates'];['beyondburger']
441;@smartstar79 @Publix @sproutsfm @WeisMarkets @acmemarkets So happy to hear the products are convenient for you!;['smartstar79', 'publix', 'sproutsfm', 'weismarkets', 'acmemarkets'];['so', 'happy', 'to', 'hear', 'the', 'products', 'are', 'convenient', 'for', 'you'];[]
442;"Stocking up for the weekend like... 

📷: @joshentis https://t.co/6GydRN9ATy";['joshentis'];['stocking', 'up', 'for', 'the', 'weekend', 'like', 'https'];[]
443;@Brian_vinyl @joshentis @FollowYourHeart 🙌;['brian_vinyl', 'joshentis', 'followyourheart'];[];[]
444;@dirtiedan93 Haha true!;['dirtiedan93'];['haha', 'true'];[]
445;"#Saturday 

Full recipe here: https://t.co/G9X4EdPh66 https://t.co/ATW3CNK8lz";[];['saturday', 'full', 'recipe', 'here', 'https', 'https'];['saturday']
446;"""The goal, ultimately, is to provide enough tasty, plant-based meat to save the planet.""

https://t.co/TnS5qf8TwW";[];['the', 'goal', 'ultimately', 'is', 'to', 'provide', 'enough', 'tasty', 'plant', 'meat', 'to', 'save', 'the', 'planet', 'https'];[]
